Date AC E I PH AD Total
March-2012 0 0 0 0 0 21
April-2012 0 1 1 2 5 4040
May-2012 0 17 18 20 23 5455
June-2012 0 3 3 4 62 5960
July-2012 0 2 2 5 9 6810
August-2012 0 5 5 12 15 9166
September-2012 0 4 4 7 11 11576
October-2012 0 10 12 15 22 14463
November-2012 1 3 3 10 15 16480
December-2012 0 1 2 4 12 20558
January-2013 1 2 5 10 28 25236
February-2013 0 25 27 34 53 28957
March-2013 0 11 15 24 43 36981
April-2013 0 24 29 40 66 43157
May-2013 0 6 9 18 45 52740
June-2013 0 10 15 25 45 57273
July-2013 1 12 17 46 77 70977
August-2013 1 15 21 71 92 98781
September-2013 0 16 21 54 90 128686
October-2013 0 24 34 75 119 153569
November-2013 0 13 26 57 103 180100
December-2013 0 29 44 73 125 213250
January-2014 0 48 59 99 172 262127
February-2014 2 69 86 128 210 301890
March-2014 2 126 136 201 313 391127
April-2014 5 55 76 144 248 445361
May-2014 0 31 45 116 260 513232
June-2014 0 52 78 141 346 539049
July-2014 4 51 77 168 349 604948
August-2014 4 129 153 308 487 744431
September-2014 7 114 137 283 502 873194
October-2014 6 121 167 344 565 977152
November-2014 3 201 230 368 617 1063300
December-2014 8 261 311 463 725 1181281
January-2015 4 228 273 471 775 1331085
February-2015 2 191 228 444 758 1446104
March-2015 22 412 466 746 1159 1720467
April-2015 10 356 420 974 1458 1848302
May-2015 7 249 300 643 1152 2037367
June-2015 8 223 300 585 1087 1981393
July-2015 4 269 357 632 1245 2138090
August-2015 20 389 477 894 1554 2463762
September-2015 31 552 662 1236 1846 2773903
October-2015 19 557 687 1255 1887 2997131
November-2015 14 545 680 1178 1790 3083396
December-2015 10 546 676 1198 1871 3366092
January-2016 26 657 815 1512 2290 3695871
February-2016 25 562 729 1417 2245 3907596
March-2016 25 1376 1591 2391 3489 4363699
April-2016 18 1223 1480 2547 3586 4738276
May-2016 23 739 990 1770 2946 4948672
June-2016 19 611 901 1536 2715 4865229
July-2016 14 594 902 1711 3020 5206238
August-2016 34 1143 1437 2460 3967 5825671
September-2016 47 1644 1988 3446 5002 6487683
October-2016 41 1343 1777 3177 4827 6980023
November-2016 36 1315 1718 2977 4606 7017433
December-2016 52 1405 1892 3060 4822 7697207
January-2017 42 1346 1890 3350 5225 7929550
February-2017 43 1717 2228 3841 5775 8220958
March-2017 114 3532 4178 6425 8992 9298730
April-2017 43 2114 2797 4867 7307 9541434
May-2017 40 1168 1944 3765 6353 9848295
June-2017 46 980 1759 3409 6127 9753215
July-2017 37 1300 2119 3948 7083 10220803
August-2017 66 2043 2987 5614 8916 11409788
September-2017 102 3216 4181 7784 11222 12232041
October-2017 65 3216 4358 7785 11391 12777782
November-2017 53 2652 3836 6546 10016 12740694
December-2017 57 2293 3443 5876 9443 13873072
January-2018 73 2577 3806 6696 10506 13805117
February-2018 54 2825 3988 6941 10560 13330526
March-2018 135 4679 6112 10028 14827 14895690
April-2018 61 2399 3691 6394 9962 13413031
