Date AC E I PH AD Total
December-2019 0 6 8 27 39 80468
January-2020 15 595 1085 2090 3456 3782843
February-2020 19 699 1162 2151 3465 3872398
March-2020 20 779 1340 2344 4042 3637387
April-2020 39 1229 1904 3150 5713 3192838
May-2020 37 1163 2050 3442 6155 3955739
June-2020 30 1051 1975 3192 5604 4168092
July-2020 22 903 1881 3188 5733 4246782
August-2020 23 912 1912 3403 5879 4509853
September-2020 38 1491 2548 4770 7694 4746083
October-2020 9 457 925 1573 2625 2098316
November-2020 0 4 7 10 17 18495
December-2020 0 2 5 6 14 10297
