Date ADULT_CONTENT HEALTH DRUGS_ALCOHOL_GAMBLING RACE VIOLENCE_CRIME POLITICS RELATION LOCATION Total
March-2012 0 0 4 4 6 6 6 8 21
April-2012 84 128 392 514 540 570 1080 1265 4040
May-2012 87 131 527 648 690 722 1519 1783 5455
June-2012 101 149 521 671 709 750 1622 1942 5960
July-2012 160 235 701 878 967 986 1921 2314 6810
August-2012 181 254 810 1009 1115 1161 2530 2965 9166
September-2012 252 372 1138 1451 1583 1636 3322 3834 11576
October-2012 263 381 1263 1635 1783 1853 4101 4731 14463
November-2012 289 430 1460 1842 2001 2148 4694 5351 16480
December-2012 349 500 1602 2105 2284 2402 5827 6786 20558
January-2013 481 709 2245 2863 3085 3240 7126 8398 25236
February-2013 640 923 2830 3590 3876 4057 8115 9488 28957
March-2013 874 1208 3778 4765 5195 5392 10400 12311 36981
April-2013 1047 1468 4473 5558 6073 6361 11725 14191 43157
May-2013 1245 1761 5526 6814 7367 7648 14973 17612 52740
June-2013 1400 1914 5853 7258 7914 8276 16688 19479 57273
July-2013 1674 2263 7000 8807 9656 10052 20518 24260 70977
August-2013 2426 3328 9568 11688 12837 13287 27220 31849 98781
September-2013 3161 4387 12889 15928 17407 18012 35605 40803 128686
October-2013 3877 5507 15446 19195 21002 21759 42630 48646 153569
November-2013 4285 6091 17999 22567 24788 25665 48619 55509 180100
December-2013 4733 6672 18266 23537 25569 26668 57236 66819 213250
January-2014 6270 9772 26250 32818 35565 36823 69671 82237 262127
February-2014 7523 12602 32741 40234 43606 45342 80215 92961 301890
March-2014 10283 18049 44228 54025 58911 61337 104604 124423 391127
April-2014 11603 20177 49490 59900 65235 68175 115382 137639 445361
May-2014 12776 18341 53687 64919 70709 73684 133823 158286 513232
June-2014 12498 17337 51159 62379 67859 71199 138439 164938 539049
July-2014 14064 19649 57640 70193 76928 79849 155619 185328 604948
August-2014 18072 25122 71434 86273 94289 97595 186130 216767 744431
September-2014 21053 30024 84980 103717 113324 117495 220615 254246 873194
October-2014 23588 34357 95374 116846 127662 132567 244901 280543 977152
November-2014 24229 34666 100676 125250 136245 141239 255463 292414 1063300
December-2014 25005 35792 98627 124065 135458 141089 288318 335052 1181281
January-2015 31397 44833 128292 158084 173303 179687 324086 381530 1331085
February-2015 35135 50291 142240 175633 191082 198795 348131 402379 1446104
March-2015 44295 62415 175551 215557 235542 245569 422283 503456 1720467
April-2015 47700 66849 190214 229102 250085 261415 446120 527770 1848302
May-2015 64015 83067 216895 257935 280258 291028 505789 598538 2037367
June-2015 42373 58340 163304 199387 218101 228011 436128 522516 1981393
July-2015 45821 63743 178545 216701 237592 247649 462157 553713 2138090
August-2015 53491 74229 204507 247329 271123 282730 517485 611313 2463762
September-2015 60020 84452 229377 279863 307565 321769 576355 676460 2773903
October-2015 64282 91991 251074 305454 335594 351305 612301 714338 2997131
November-2015 60273 86307 242600 298773 327274 341686 602602 698884 3083396
December-2015 61980 88683 239232 297012 327372 342827 676027 793238 3366092
January-2016 76075 107451 299382 365961 400179 418386 726490 869051 3695871
February-2016 81797 117219 321280 391844 431087 454030 769016 905866 3907596
March-2016 97515 137519 365308 448170 491737 520333 875709 1060417 4363699
April-2016 104666 148973 413017 497763 543549 574167 953227 1137781 4738276
May-2016 99228 141287 406569 489802 533118 558693 1007462 1194293 4948672
June-2016 88527 124518 359366 432419 472366 496364 958128 1148812 4865229
July-2016 99994 138312 396233 476309 522221 547631 998848 1200878 5206238
August-2016 113999 159131 428295 516508 572780 600664 1101006 1303442 5825671
September-2016 129177 185507 498430 602740 661114 696951 1242236 1461778 6487683
October-2016 139285 203819 550949 669736 734337 776219 1355491 1582949 6980023
November-2016 135064 198694 524295 639509 698899 757534 1344089 1561229 7017433
December-2016 136980 197130 527894 649524 713934 748591 1504361 1757854 7697207
January-2017 152984 221448 598829 731949 798000 840214 1499232 1802270 7929550
February-2017 162901 236947 647114 780976 851935 900001 1558224 1830652 8220958
March-2017 213544 301561 768750 932586 1020324 1075832 1835225 2210440 9298730
April-2017 194701 281671 798187 953692 1036802 1093823 1834765 2170403 9541434
May-2017 177371 257694 761556 909844 987388 1034318 1922824 2264153 9848295
June-2017 166636 238121 709959 842688 915013 955984 1855122 2198294 9753215
July-2017 179377 256442 779680 925058 1003404 1046228 1926521 2291788 10220803
August-2017 308848 401304 944956 1104816 1193209 1239193 2213749 2576310 11409788
September-2017 239698 349714 958277 1138044 1239811 1292603 2343444 2727175 12232041
October-2017 238646 354991 974876 1166793 1283956 1342596 2429796 2820408 12777782
November-2017 216681 323113 890780 1082132 1182207 1234151 2340524 2696971 12740694
December-2017 218986 323823 909122 1107690 1210932 1268651 2661738 3048211 13873072
January-2018 236392 352342 980596 1185789 1288592 1347628 2523784 2969053 13805117
February-2018 230736 346461 948195 1183280 1282122 1349929 2434591 2821066 13330526
March-2018 276225 407977 1120239 1362238 1485225 1570295 2808576 3322323 14895690
April-2018 225148 335288 936210 1113524 1210245 1284839 2313309 2707691 13413031
