Month Non-Cryptic Total
December-2019 27256 49792
January-2020 2469829 4278346
February-2020 2604470 4448479
March-2020 2387869 3988755
April-2020 2241212 3594310
May-2020 2866186 4567351
June-2020 3038172 4822970
July-2020 3167389 4991001
August-2020 3457530 5361324
September-2020 3754591 5695493
October-2020 1249730 1907641
November-2020 8739 13264
December-2020 5177 7611

