Month Non-Cryptic Total
03-2012 11 14
04-2012 2684 3234
05-2012 3812 4433
06-2012 4176 4746
07-2012 4776 5554
08-2012 6293 7318
09-2012 8278 9739
10-2012 10063 11980
11-2012 11428 13605
12-2012 13829 16464
01-2013 17860 21263
02-2013 21041 25351
03-2013 27575 33224
04-2013 33578 40456
05-2013 40198 48432
06-2013 42106 50731
07-2013 53666 64658
08-2013 72556 88483
09-2013 97349 120184
10-2013 116431 147382
11-2013 134553 172504
12-2013 148730 190680
01-2014 193198 250907
02-2014 227297 299076
03-2014 311152 409411
04-2014 346621 462162
05-2014 390984 528357
06-2014 385759 521297
07-2014 427212 585222
08-2014 531146 727598
09-2014 645166 896064
10-2014 730510 1043587
11-2014 768363 1113570
12-2014 807657 1153796
01-2015 963775 1396776
02-2015 1061668 1561277
03-2015 1335074 1963345
04-2015 1417718 2115998
05-2015 1499760 2307324
06-2015 1260229 2032629
07-2015 1360839 2230884
08-2015 1577513 2629189
09-2015 1888456 3147427
10-2015 2020960 3545545
11-2015 1965122 3509147
12-2015 2047772 3592583
01-2016 2403389 4291767
02-2016 2618448 4675801
03-2016 3005252 5366523
04-2016 3344497 5972317
05-2016 3227242 5867714
06-2016 2895011 5263658
07-2016 3130796 5797772
08-2016 3612886 6568885
09-2016 4330914 7874390
10-2016 4765503 8825007
11-2016 4509549 8351018
12-2016 4719874 8740508
01-2017 5133495 9506473
02-2017 5486333 10159876
03-2017 6672160 12131200
04-2017 6659828 12333015
05-2017 6420946 11890642
06-2017 5908510 10941687
07-2017 6334666 11730864
08-2017 7201921 13336892
09-2017 8263824 15303379
10-2017 8837587 16365902
11-2017 8218164 15218823
12-2017 8582054 15892693
01-2018 8847958 16385109
02-2018 8696297 15811450
03-2018 10336319 18793309
04-2018 8335709 15155835

06-2018 0 0 - 0
07-2018 384128 703168
08-2018 1635951 2944915
09-2018 0 0 - 0
10-2018 1797608 3209092
12-2018 0 0 - 0
01-2019 0 0
02-2019 0 0
03-2019 0 0
04-2019 0 0
05-2019 0 0
06-2019 0 0
07-2019 0 0
08-2019 0 0
09-2019 0 0
10-2019 0 0
11-2019 0 0
12-2019 27256 49792
01-2020 2469829 4278346
02-2020 2604470 4448479
03-2020 2387869 3988755
04-2020 2241212 3594310
05-2020 2866186 4567351
06-2020 3038172 4822970
07-2020 3167389 4991001
08-2020 3457530 5361324
09-2020 3754591 5695493
10-2020 1249730 1907641
11-2020 8739 13264
12-2020 5177 7611
