Month Non-Cryptic Total
March-2012 11 14
April-2012 2684 3234
May-2012 3812 4433
June-2012 4176 4746
July-2012 4776 5554
August-2012 6293 7318
September-2012 8278 9739
October-2012 10063 11980
November-2012 11428 13605
December-2012 13829 16464
January-2013 17860 21263
February-2013 21041 25351
March-2013 27575 33224
April-2013 33578 40456
May-2013 40198 48432
June-2013 42106 50731
July-2013 53666 64658
August-2013 72556 88483
September-2013 97349 120184
October-2013 116431 147382
November-2013 134553 172504
December-2013 148730 190680
January-2014 193198 250907
February-2014 227297 299076
March-2014 311152 409411
April-2014 346621 462162
May-2014 390984 528357
June-2014 385759 521297
July-2014 427212 585222
August-2014 531146 727598
September-2014 645166 896064
October-2014 730510 1043587
November-2014 768363 1113570
December-2014 807657 1153796
January-2015 963775 1396776
February-2015 1061668 1561277
March-2015 1335074 1963345
April-2015 1417718 2115998
May-2015 1499760 2307324
June-2015 1260229 2032629
July-2015 1360839 2230884
August-2015 1577513 2629189
September-2015 1888456 3147427
October-2015 2020960 3545545
November-2015 1965122 3509147
December-2015 2047772 3592583
January-2016 2403389 4291767
February-2016 2618448 4675801
March-2016 3005252 5366523
April-2016 3344497 5972317
May-2016 3227242 5867714
June-2016 2895011 5263658
July-2016 3130796 5797772
August-2016 3612886 6568885
September-2016 4330914 7874390
October-2016 4765503 8825007
November-2016 4509549 8351018
December-2016 4719874 8740508
January-2017 5133495 9506473
February-2017 5486333 10159876
March-2017 6672160 12131200
April-2017 6659828 12333015
May-2017 6420946 11890642
June-2017 5908510 10941687
July-2017 6334666 11730864
August-2017 7201921 13336892
September-2017 8263824 15303379
October-2017 8837587 16365902
November-2017 8218164 15218823
December-2017 8582054 15892693
January-2018 8847958 16385109
February-2018 8696297 15811450
March-2018 10336319 18793309
April-2018 8335709 15155835
