#Month Non-Cryptic Total
03-2012 17 21
04-2012 4002 4770
05-2012 5633 6490
06-2012 6126 6960
07-2012 7061 8196
08-2012 9349 10752
09-2012 12219 14290
10-2012 14943 17640
11-2012 16825 19964
12-2012 20445 24103
01-2013 26263 31089
02-2013 31087 37203
03-2013 40873 48715
04-2013 49431 59310
05-2013 58867 70763
06-2013 63281 75832
07-2013 80756 96752
08-2013 109377 131991
09-2013 145320 178911
10-2013 172342 216540
11-2013 198611 253160
12-2013 220054 279548
01-2014 285754 367522
02-2014 337705 440539
03-2014 460518 602395
04-2014 510611 678295
05-2014 573411 773556
06-2014 570998 766971
07-2014 635734 860757
08-2014 786595 1066239
09-2014 955042 1316073
10-2014 1086777 1534320
11-2014 1143746 1637864
12-2014 1191341 1690246
01-2015 1425047 2058914
02-2015 1572726 2304684
03-2015 1977916 2898141
04-2015 2103856 3118517
05-2015 2223939 3389666
06-2015 1884095 2994103
07-2015 2001725 3278569
08-2015 2347394 3857490
09-2015 2782838 4634845
10-2015 3019866 5232230
11-2015 2929320 5175924
12-2015 3016534 5278460
01-2016 3565962 6316359
02-2016 3857795 6888128
03-2016 4448083 7894465
04-2016 4918067 8758301
05-2016 4827095 8638917
06-2016 4321626 7744788
07-2016 4642218 8537214
08-2016 5397686 9776174
09-2016 6498519 11780367
10-2016 7139338 13116824
11-2016 6780312 12393226
12-2016 7010218 12796988
01-2017 7651913 13994474
02-2017 8221626 14979506
03-2017 9876082 17871370
04-2017 9782517 18055350
05-2017 9496511 17527350
06-2017 8767470 16118265
07-2017 9339258 17293571
08-2017 10746974 19550654
09-2017 12315531 22514887
10-2017 13130096 24072456
11-2017 12203453 22381726
12-2017 12722611 23311342
01-2018 13233274 24105981
02-2018 12857195 23286708
03-2018 15408730 27891403
04-2018 12538408 22510001

06-2018 0 0 - 0
07-2018 384128 703168
08-2018 1635951 2944915
09-2018 0 0 - 0
10-2018 1797608 3209092
12-2018 0 0 - 0
01-2019 0 0
02-2019 0 0
03-2019 0 0
04-2019 0 0
05-2019 0 0
06-2019 0 0
07-2019 0 0
08-2019 0 0
09-2019 0 0
10-2019 0 0
11-2019 0 0
12-2019 27256 49792
01-2020 2469829 4278346
02-2020 2604470 4448479
03-2020 2387869 3988755
04-2020 2241212 3594310
05-2020 2866186 4567351
06-2020 3038172 4822970
07-2020 3167389 4991001
08-2020 3457530 5361324
09-2020 3754591 5695493
10-2020 1249730 1907641
11-2020 8739 13264
12-2020 5177 7611


