DATE #TRANSACTIONS #TEXTUAL_TRANSACTIONS
03-2012 14 14
04-2012 3234 3234
05-2012 4433 4433
06-2012 4746 4735
07-2012 5554 5519
08-2012 7318 7267
09-2012 9739 9642
10-2012 11980 11834
11-2012 13605 13403
12-2012 16464 16172
01-2013 21263 20912
02-2013 25351 24840
03-2013 33224 32561
04-2013 40456 39464
05-2013 48432 47176
06-2013 50731 49353
07-2013 64658 62667
08-2013 88483 85549
09-2013 120184 115298
10-2013 147382 139770
11-2013 173469 163357
12-2013 191900 179542
01-2014 254428 236256
02-2014 300753 276858
03-2014 411395 375974
04-2014 464083 419720
05-2014 530602 475402
06-2014 524179 466232
07-2014 588669 518162
08-2014 731298 643073
09-2014 900317 785509
10-2014 1047625 899439
11-2014 1117631 953048
12-2014 1157914 978836
01-2015 1401553 1170893
02-2015 1566669 1296771
03-2015 1969957 1623038
04-2015 2122984 1735101
05-2015 2316282 1841597
06-2015 2040945 1539780
07-2015 2240102 1639861
08-2015 2640226 1924732
09-2015 3159538 2288925
10-2015 3558420 2505869
11-2015 3521713 2435586
12-2015 3606659 2478954
01-2016 4307576 2944096
02-2016 4692197 3202283
03-2016 5385527 3669564
04-2016 5992512 4089432
05-2016 5888903 3982694
06-2016 5283785 3528613
07-2016 5819515 3815574
08-2016 6589687 4354580
09-2016 7901285 5270157
10-2016 8851113 5882474
11-2016 8373311 5576797
12-2016 8764606 5776714
01-2017 9531649 6316455
02-2017 10185344 6809069
03-2017 12159975 8146188
04-2017 12359008 8256524
05-2017 11917547 7887485
06-2017 10969156 7185237
07-2017 11760037 7678895
08-2017 13369200 8827446
09-2017 15341777 10225309
10-2017 16405614 10929551
11-2017 15253752 10116375
12-2017 15932296 10460937
01-2018 16425110 10925737
02-2018 15850493 10629416
03-2018 18840138 12644569
04-2018 15193068 10267473
05-2018 0 0
06-2018 0 0
07-2018 708142 466708
08-2018 2966972 1970186
09-2018 0 0
10-2018 3232576 2190024
11-2018 0 0
12-2018 0 0
01-2019 0 0
02-2019 0 0
03-2019 0 0
04-2019 0 0
05-2019 0 0
06-2019 0 0
07-2019 0 0
08-2019 0 0
09-2019 0 0
10-2019 0 0
11-2019 0 0
12-2019 49792 33453 
01-2020 4278346 2914605 
02-2020 4448479 3090079 
03-2020 3988755 2799901 
04-2020 3594310 2572551 
05-2020 4567351 3316166 
06-2020 4822970 3543283 
07-2020 4991001 3693596 
08-2020 5361324 4040703 
09-2020 5695493 4390647 
10-2020 1907641 1473799 
11-2020 13264 10206 
12-2020 7611 5923 
