Date AC E I PH AD
December-19 0 6 8 27 39
January-20 15 595 1085 2090 3456
February-20 19 699 1162 2151 3465
March-20 20 779 1340 2344 4042
April-20 39 1229 1904 3150 5713
May-20 37 1163 2050 3442 6155
June-20 30 1051 1975 3192 5604
July-20 22 903 1881 3188 5733
August-20 23 912 1912 3403 5879
September-20 38 1491 2548 4770 7694
October-20 9 457 925 1573 2625
November-20 0 4 7 10 17
December-20 0 2 5 6 14
