Date AC E I PH AD
March-12 0 0 0 0 0
April-12 0 1 1 2 5
May-12 0 17 18 20 23
June-12 0 3 3 4 62
July-12 0 2 2 5 9
August-12 0 5 5 12 15
September-12 0 4 4 7 11
October-12 0 10 12 15 22
November-12 1 3 3 10 15
December-12 0 1 2 4 12
January-13 1 2 5 10 28
February-13 0 25 27 34 53
March-13 0 11 15 24 43
April-13 0 24 29 40 66
May-13 0 6 9 18 45
June-13 0 10 15 25 45
July-13 1 12 17 46 77
August-13 1 15 21 71 92
September-13 0 16 21 54 90
October-13 0 24 34 75 119
November-13 0 13 26 57 103
December-13 0 29 44 73 125
January-14 0 48 59 99 172
February-14 2 69 86 128 210
March-14 2 126 136 201 313
April-14 5 55 76 144 248
May-14 0 31 45 116 260
June-14 0 52 78 141 346
July-14 4 51 77 168 349
August-14 4 129 153 308 487
September-14 7 114 137 283 502
October-14 6 121 167 344 565
November-14 3 201 230 368 617
December-14 8 261 311 463 725
January-15 4 228 273 471 775
February-15 2 191 228 444 758
March-15 22 412 466 746 1159
April-15 10 356 420 974 1458
May-15 7 249 300 643 1152
June-15 8 223 300 585 1087
July-15 4 269 357 632 1245
August-15 20 389 477 894 1554
September-15 31 552 662 1236 1846
October-15 19 557 687 1255 1887
November-15 14 545 680 1178 1790
December-15 10 546 676 1198 1871
January-16 26 657 815 1512 2290
February-16 25 562 729 1417 2245
March-16 25 1376 1591 2391 3489
April-16 18 1223 1480 2547 3586
May-16 23 739 990 1770 2946
June-16 19 611 901 1536 2715
July-16 14 594 902 1711 3020
August-16 34 1143 1437 2460 3967
September-16 47 1644 1988 3446 5002
October-16 41 1343 1777 3177 4827
November-16 36 1315 1718 2977 4606
December-16 52 1405 1892 3060 4822
January-17 42 1346 1890 3350 5225
February-17 43 1717 2228 3841 5775
March-17 114 3532 4178 6425 8992
April-17 43 2114 2797 4867 7307
May-17 40 1168 1944 3765 6353
June-17 46 980 1759 3409 6127
July-17 37 1300 2119 3948 7083
August-17 66 2043 2987 5614 8916
September-17 102 3216 4181 7784 11222
October-17 65 3216 4358 7785 11391
November-17 53 2652 3836 6546 10016
December-17 57 2293 3443 5876 9443
January-18 73 2577 3806 6696 10506
February-18 54 2825 3988 6941 10560
March-18 135 4679 6112 10028 14827
April-18 61 2399 3691 6394 9962
