Date	English Total
03-2012	29	29
04-2012	23	23
05-2012	25	25
06-2012	25	25
07-2012	24	24
08-2012	24	24
09-2012	24	24
10-2012	25	24
11-2012	24	24
12-2012	25	24
01-2013	24	24
02-2013	23	22
03-2013	23	22
04-2013	22	21
05-2013	23	22
06-2013	24	23
07-2013	24	23
08-2013	23	22
09-2013	21	21
10-2013	21	20
11-2013	20	19
12-2013	23	21
01-2014	21	19
02-2014	20	19
03-2014	20	19
04-2014	20	18
05-2014	20	18
06-2014	21	19
07-2014	21	19
08-2014	20	18
09-2014	19	17
10-2014	19	16
11-2014	18	15
12-2014	20	17
01-2015	19	16
02-2015	18	15
03-2015	19	15
04-2015	18	15
05-2015	20	16
06-2015	20	15
07-2015	20	15
08-2015	19	14
09-2015	17	13
10-2015	17	12
11-2015	17	12
12-2015	19	13
01-2016	17	12
02-2016	17	11
03-2016	17	12
04-2016	17	11
05-2016	18	12
06-2016	19	13
07-2016	19	12
08-2016	18	12
09-2016	16	11
10-2016	16	11
11-2016	16	11
12-2016	18	12
01-2017	17	11
02-2017	16	11
03-2017	16	11
04-2017	16	10
05-2017	17	11
06-2017	18	12
07-2017	18	12
08-2017	17	12
09-2017	16	11
10-2017	16	10
11-2017	16	10
12-2017	17	11
01-2018	16	11
02-2018	16	11
03-2018	16	11
04-2018	15	10
05-2018 0 0
06-2018 0 0		
07-2018	15	10
08-2018	15	10
09-2018 0 0
10-2018	14	9.50
11-2018 0 0
12-2018 0 0
01-2019 0 0
02-2019 0 0
03-2019 0 0
04-2019 0 0
05-2019 0 0
06-2019 0 0
07-2019 0 0
08-2019 0 0
09-2019 0 0
10-202019 0 0
11-2019 0 0		
12-2019	17	11
01-2020	15	10
02-2020	15	10
03-2020	16	11
04-2020	16	11
05-2020	16	12
06-2020	16	11
07-2020	15	11
08-2020	14	11
09-2020	14	11
10-2020	15	11
11-2020	17	13
12-2020	17	13
