Month Cryptic Total Percentage HUNDRED
December-2019 21452 80468 26 100
January-2020 1155007 3782843 30 100
February-2020 1159701 3872398 29 100
March-2020 1041693 3637387 28 100
April-2020 868600 3192838 27 100
May-2020 1083469 3955739 27 100
June-2020 1146398 4168092 27 100
July-2020 1165103 4246782 27 100
August-2020 1215862 4509853 26 100
September-2020 1250418 4746083 26 100
October-2020 507099 2098316 24 100
November-2020 4521 18495 24 100
December-2020 2432 10297 23 100
